Sample_ID,Species,Sex,Age_Months,Age_Group,Swab_type,Body_region,Health_status,Prior_Antibiotics_Use,MSA_agar_char,PCR_nuc,PCR_mecA,S_aureus_Confirmed,Archived_MRSA_Status,Cefoxitin_FOX,Nitrofurantoin_F,TMP_SXT,Tetracycline_TE,Chloramphenicol_C,Gentamicin_CN,Ciprofloxacin_CIP,Azithromycin_AZM,Clindamycin_DA,Erythromycin_E,Enrofloxacin_ENR,Genotype_phenotype_group,Cefoxitin_zone_diameter_mm,Nitrofurantoin_zone_diameter_mm,TMP_zone_diameter_mm,Tetracycline_zone_diameter_mm,Chloramphenicol_zone_diameter_mm,Gentamicin_zone_diameter_mm,Ciprofloxacin_zone_diameter_mm,Azithromycin_zone_diameter_mm,Clindamycin_zone_diameter_mm,Erythromycin_zone_diameter_mm,Enrofloxacin_zone_diameter_mm,Class_Beta_lactam_R,Class_Nitrofuran_R,Class_Folate_pathway_inhibitor_R,Class_Tetracycline_R,Class_Phenicol_R,Class_Aminoglycoside_R,Class_Fluoroquinolone_R,Class_Macrolide_R,Class_Lincosamide_R,Resistance_class_count,MDR_ge_3_classes,OS_MRSA,Analysis_inclusion_species_comparison,Analysis_inclusion_prior_antibiotic_comparison,Zone_diameter_availability_note
35_b,Cat,Female,36,3-6 yr,Wound Swab,Head region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
37_b,Cat,Female,36,3-6 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
38_b,Cat,Female,24,1-3 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible,Resistant,Resistant,Resistant,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
40_b,Cat,Male,2,<1 yr,Wound Swab,Thorax region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
41_b,Cat,Male,12,1-3 yr,Wound Swab,Head region,Sick,No,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Resistant,Resistant,Resistant,Susceptible,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
42_b,Cat,Male,12,1-3 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
43_b,Cat,Male,48,3-6 yr,Wound Swab,Leg region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
44_b,Cat,Female,24,1-3 yr,Wound Swab,Thorax region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
45_b,Cat,Male,24,1-3 yr,Wound Swab,Head region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
46_b,Cat,Female,30,1-3 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,Yes,Yes,Yes,MRSA,Susceptible,Susceptible,Intermediate,Susceptible,Resistant,Susceptible,Resistant,Resistant,Resistant,Resistant,Resistant,mecA-positive / cefoxitin-susceptible (OS-MRSA),,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
47_b,Cat,Female,20,1-3 yr,Wound Swab,Leg region,Sick,Yes,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
48_b,Cat,Female,6,<1 yr,Wound Swab,Thorax region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
49_b,Cat,Male,30,1-3 yr,Wound Swab,Head region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
50_b,Cat,Female,24,1-3 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,Yes,No,Yes,MSSA,Resistant,Susceptible,Resistant,Intermediate,Susceptible,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,mecA-negative / cefoxitin-resistant S. aureus,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,6,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
54_b,Cat,Female,36,3-6 yr,Wound Swab,Leg region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
55_b,Cat,Female,18,1-3 yr,Wound Swab,Thorax region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
14_b,Cat,Female,42,3-6 yr,Wound Swab,Abdominal region,Apparently Healthy,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Resistant,Resistant,Resistant,Resistant,mecA-positive / cefoxitin-susceptible (OS-MRSA),,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
